ID;time;volume;type;MIT_conc_nom;CMIT_conc_nom;CMITMIT_conc_nom;MIT_conc_theo;CMIT_conc_theo;SI_conc_theo;replicate;MIT;CMIT;SI
G_M_0-1u_R1;NA;NA;range;0.1;0;0;0.1;0;0.8;1;3.659;0,00;8.908
TA_CM_0-6_0_R1;0;NA;acute;0.15;0.45;0.6;NA;NA;0.2;1;2399.003;7847.278;2848.397
TA_CM_0-6_24_R1;1;NA;acute;0.15;0.45;0.6;NA;NA;0.2;1;2447.083;7812.064;2936.24
TA_CM_0-5_0_R1;0;NA;acute;0.125;0.375;0.5;NA;NA;0.2;1;2132.988;6942.438;2953.728
TA_CM_0-5_24_R1;1;NA;acute;0.125;0.375;0.5;NA;NA;0.2;1;2114.642;6829.621;2935.573
TA_CM_0-42_0_R1;0;NA;acute;0.105;0.315;0.42;NA;NA;0.2;1;1838.878;5910.346;3002.82
TA_CM_0-42_24_R1;1;NA;acute;0.105;0.315;0.42;NA;NA;0.2;1;1857.382;5911.776;3118.539
TA_CM_0-36_0_R1;0;NA;acute;0.09;0.27;0.36;NA;NA;0.2;1;1611.202;5433.187;3093.904
TA_CM_0-36_24_R1;1;NA;acute;0.09;0.27;0.36;NA;NA;0.2;1;1670.237;5415.631;3171.063
TA_CM_0-30_0_R1;0;NA;acute;0.075;0.225;0.30;NA;NA;0.2;1;1410.125;4523.148;3267.497
TA_CM_0-30_24_R1;1;NA;acute;0.075;0.225;0.30;NA;NA;0.2;1;1360.599;4513.507;3261.269
TA_CM_0-24_0_R1;0;NA;acute;0.06;0.18;0.24;NA;NA;0.2;1;1196.111;3894.907;3330.928
TA_CM_0-24_24_R1;1;NA;acute;0.06;0.18;0.24;NA;NA;0.2;1;1112.649;3809.641;3344.421
TA_CM_0-18_0_R1;0;NA;acute;0.045;0.135;0.18;NA;NA;0.2;1;896.871;3089.486;3304.347
TA_CM_0-18_24_R1;1;NA;acute;0.045;0.135;0.18;NA;NA;0.2;1;896.866;3060.369;3584.727
TA_CM_0-15_0_R1;0;NA;acute;0.0375;0.1125;0.15;NA;NA;0.2;1;766.376;2710.787;3264.705
TA_CM_0-15_24_R1;1;NA;acute;0.0375;0.1125;0.15;NA;NA;0.2;1;760.986;2699.031;3489.486
TA_CM_0-12_0_R1;0;NA;acute;0.03;0.09;0.12;NA;NA;0.2;1;648.805;2193.286;3409.696
TA_CM_0-12_24_R1;1;NA;acute;0.03;0.09;0.12;NA;NA;0.2;1;585.51;2151.055;3583.824
TA_CM_0-06_0_R1;0;NA;acute;0.015;0.045;0.06;NA;NA;0.2;1;314.047;1252.711;3583.405
TA_CM_0-06_24_R1;1;NA;acute;0.015;0.045;0.06;NA;NA;0.2;1;275.041;1206.062;3848.339
TA_M_5-0_0_R1;0;NA;acute;5;0;0;NA;0;1.5;1;19391.641;0,00;7681.136
TA_M_5-0_24_R1;1;NA;acute;5;0;0;NA;0;1.5;1;19205.938;0,00;7521.335
TA_M_3-75_0_R1;0;NA;acute;3.75;0;0;NA;0;1.5;1;16037.311;0,00;8463.747
TA_M_3-75_24_R1;1;NA;acute;3.75;0;0;NA;0;1.5;1;16101.125;0,00;8123.497
TA_M_3-25_0_R1;0;NA;acute;3.25;0;0;NA;0;1.5;1;14584.55;0,00;8754.938
TA_M_3-25_24_R1;1;NA;acute;3.25;0;0;NA;0;1.5;1;14488.177;0,00;8715.388
TA_M_3-0_0_R1;0;NA;acute;3.0;0;0;NA;0;1.5;1;13566.207;0,00;8816.562
TA_M_3-0_24_R1;1;NA;acute;3.0;0;0;NA;0;1.5;1;13861.695;0,00;9072.849
TA_M_2-75_0_R1;0;NA;acute;2.75;0;0;NA;0;1.5;1;13132.052;0,00;9463.537
TA_M_2-75_24_R1;1;NA;acute;2.75;0;0;NA;0;1.5;1;13525.99;0,00;9464.958
TA_M_2-25_0_R1;0;NA;acute;2.25;0;0;NA;0;1.5;1;11146.372;0,00;9213.068
TA_M_2-25_24_R1;1;NA;acute;2.25;0;0;NA;0;1.5;1;11197.702;0,00;9729.86
TA_M_2-0_0_R1;0;NA;acute;2.0;0;0;NA;0;1.5;1;10307.92;0,00;10103.165
TA_M_2-0_24_R1;1;NA;acute;2.0;0;0;NA;0;1.5;1;10170.125;0,00;9818.156
TA_M_1-75_0_R1;0;NA;acute;1.75;0;0;NA;0;1.5;1;9426.386;0,00;10092.507
TA_M_1-75_24_R1;1;NA;acute;1.75;0;0;NA;0;1.5;1;9294.136;0,00;10781.728
TA_M_1-5_0_R1;0;NA;acute;1.5;0;0;NA;0;1.5;1;8070.801;0,00;10302.239
TA_M_1-5_24_R1;1;NA;acute;1.5;0;0;NA;0;1.5;1;8382.794;0,00;10803.284
TA_M_1-25_0_R1;0;NA;acute;1.25;0;0;NA;0;1.5;1;7259.792;0,00;10985.094
TA_M_1-25_24_R1;1;NA;acute;1.25;0;0;NA;0;1.5;1;7154.379;0,00;11454.183
TA_M_1-0_0_R1;0;NA;acute;1.0;0;0;NA;0;1.5;1;5982.788;0,00;11523.67
TA_M_1-0_24_R1;1;NA;acute;1.0;0;0;NA;0;1.5;1;6026.808;0,00;12152.252
TA_M_0-75_0_R1;0;NA;acute;0.75;0;0;NA;0;1.5;1;4723.849;0,00;12125.407
TA_M_0-75_24_R1;1;NA;acute;0.75;0;0;NA;0;1.5;1;4578.708;0,00;12060.781
TA_M_0-5_0_R1;0;NA;acute;0.5;0;0;NA;0;1.5;1;3282.998;0,00;12946.687
TA_M_0-5_24_R1;1;NA;acute;0.5;0;0;NA;0;1.5;1;3333.674;0,00;12679.91
TA_M_0-25_0_R1;0;NA;acute;0.25;0;0;NA;0;1.5;1;1798.134;0,00;13735.552
TA_M_0-25_24_R1;1;NA;acute;0.25;0;0;NA;0;1.5;1;1795.312;0,00;13801.731
